,kalimat
78,"Diperbarui makin bagus, lancar terus fiturnya juga banyak dan lengkap jadi pesan tiket kereta bisa selain pesan hotel beli kuota internet juga"
208,"KAI memperbarui otomatis di telepon seluler saya selatah saya buka dan coba versi barunya memang lebih pengguna ramah, saya juga langsung pesan tiket untuk kebernangkatan ke Surabaya dengan komuterline wah dari pencarian, pemesanan dan bayarnya mudah banget lancar. Suwun kai"
570,"Kalau dibandingkan Kai yang dahulu sama sekarang beda banget dari segi performanya makin lancar dari pesan tiket, bayarnya, tampilannya menarik juga ditambah fitur-fitur terbaru yang bermanfaat banget menurut saya"
181,"Sangat buruk saya telat 2 menit uang enggak bisa dikembalikan malah hangus, jadi 200 ribu cuma beli angin"
101,semenjak pembaruan aplikasi jadi ringan dan lancar banget
158,Jadi malas pakainya setelah pembaruan enggak bisa masuk memuat terus jadi ribetmu masih tiket gedY 'Z
55,Sejak diperbarui malah makin mudah aplikasinya enggak lambat lagi. Mudah sekali ketika cek tiket dan ketika menyelesaikan langkah setep setelah isi data penumpang. Pembaruan terbaru ini sangat membantu saya puas
436,Diperbarui malah bisa beli tiket dengan mudah. lancar terus. UI-nya yang diperbaiki juga lebih keren. lebih baik dari versi yang lama. versi yang baru bagus banget performanya.
135,Setelah diperbarui dan tampilan baru malah lebih. parah erornya. memuat lama. lemot.. malah setelah pembaruan data untuk berubah bagaimana ini tim. IT-nya
218,Selain aplikasinya sudah enggak lambat lagi dan makin satset. aku juga suka saat pesan tiket buat pilih kursinya lebih enak saja diversi sekarang daripada dahulu
587,Tampilannya lebih suka yang dahulu Lebih ikonis dY (tm) f
331,Aplikasi versi lama suka lama kalau sudah masuk ke pembayaran tetapi versi baru ini jadi lebih lancar dan mudah buat cari & pesan tieknya
408,"Jarang banget mengasih ulasan begini, tetapi ini pasti super lambat banget, kukira makin baik, eh cuma tampilannya doang, masa mau buka aplikasi saja lemot pol, kalau kayak begini, kan enggak bisa bur ""buka pas mau penipuan kode ya"
370,Sudah banyak plusnya daripada yang lama metode pembayaran juga banyak beli tiket KA jadi sangat mudah banget lacar juga
2,kaai acces saya sudah pesan tiket dan bayar pakai Qris dana memudahkan banget
176,"Lemmootnya minta ampun, tolong segera diperbaiki sistemnya. Lebih baik copot kalau lambat banget kayak begini"
585,Setelah memperbarui palah makin baik. Aplikasi ringan lancar tidak lambat
448,"Setelah memperbarui yang terbaru tampilan oke, kualitasnya juga bagus banget. Memuat pas buka aplikasinya juga enggak lama, pas mau ke pembayaran juga lancar banget, pembayarannya dapat dilakukan dengan mudah. Ini nih aplikasi yang kita butuhkan cepat, simpel, dan mudah."
483,"Aplikasinya membantu banget apalagi kalau misalkan lagi butuh cepat tiket kereta, ditambah lagi bisa pesanan makanan via aplikasi juga"
110,Pembayaran enggak ribet pakai kaipay makin mempermudah pengguna KAI buat pesan tiket sih ini fiturbarunya satset parah lagi
213,"Masih mudah dan gampang dipahami aplikasi yang terbaru,"
132,"Tampilan jauh lebih baik dengan fitur unggulan terbarunya yang menarik, terima kasih Kai aplikasinya bagus dan lancar tidak ada masalah"
349,"Pembaruan aplikasi kok malah jadi bikin susah, tampilannya bikin pusing tambah repot lagi pembatalan kode Qris enggak bisa diunduh terus. Masa harus pakai 2 telepon seluler. kecewa dY ~ ""dY ~"""
604,"Wah tampilannya sekarang oke banget. Cuma sayang metode pembayaran masih dibatasi kartu debit Mandiri sama OVO. Mohon tambahkan dong wallet Gopay dan Dana. Terus debit BRI, Mandiri, sama BCA."
553,"Kalau gue enggak butuh sama akses kereta ini malas banget deh pakai aplikasi ini, minggu-minggu ini memuat terus, eror terus mana orang tuh buru-buru, ini benar-benar bikin emosi, pas sampai stasiun disuruh ke loket, dari loket disuruh ke petugas depan benar menyebalkan banget sampai ketinggalan jadwal kereta dong mana lagi buru-buru, kalau orang enggak bisa beli diloket ya benarkan dong itu aplikasi, jangan mengerugikan waktu orang."
521,Aplikasinya mempermudah dan bagus
49,"Kalau gue enggak butuh sama akses kereta ini malas banget deh pakai aplikasi ini, minggu-minggu ini memuat terus, eror terus mana orang tuh buru-buru, ini benar-benar bikin emosi, pas sampai stasiun disuruh ke loket, dari loket disuruh ke petugas depan benar menyebalkan banget sampai ketinggalan jadwal kereta dong mana lagi buru-buru, kalau orang enggak bisa beli diloket ya benarkan dong itu aplikasi, jangan mengerugikan waktu orang."
319,Tampilan memang bagus setelah diperbarui tetapi kulitas aplikasi lebih baik versi sebelumnya
332,"Aplikasinya tidak familier, mending yang lama"
145,"fiturnya lebih ribet & membingungkan. lebih simpel aplikasi sebelumnya., DY (tm)"
39,Sejak diperbarui makin garibet. Pesan tiket jadi saat set. enggak lambat. lebih mudah beli tiket di aplikasi sekarang. Ha. lebih baik daripada sebelumnya. Terima kasih
