"ulasan","label"
"Minta update mulu semenjak tampilan baru,i makin susah diakses dan jauh lebih ribet fiturnya","Negatif"
"Fitur lebih banyak dan tampilan lebih bagus tapi sayang lemotnya minta ampun, untuk memilih tempat duduk lama sekali, pembayaran tinggal menunggu kode pembayaran lama dan akhirnya time out, akhirnya jadi ngga dapat tiket, padahal ini untuk perjalanan mendadak. Beda jauh dengan waktu aplikasi yang lama, sat set bisa cepat ngga loading terus.","Positif"
"Lebih nyaman dan cepat digunakan versi sblm ganti tampilan dll.","Negatif"
"Dari segi tampilan udah oke tapi udah nyaman sama versi lama dan lebih satset tiap pembelian kerta KAJJ versi baru pendingnya lumayan lama","Positif"
"Setelah di update bukannya lebih baik malah zonk. tampilan dan pengoperasian lebih efisien versi lama sumpah, versi baru nyebelin. Aneh","Negatif"
"Lemot banget buat beli dan cari tiket malah tambah gaenak ux nya hadehhh","Negatif"
"Menurut aku ketika di update tiket kereta susah buat nunggu cairnya tiket yang di refund beda dengan sebelumnya uang yang kita refund harus nunggu 45 hari buat di transfer kembali pada saat belum di update bisa langsung cair 1jam bahkan gada berhari hari,sangat disayang kan disitu tapi overall dari UI nya sudah bagus.","Positif"
"saya rasa upgrade version yg sekarang sangat menurun performanya, aplikasi menjadi lambat, terkesan berat, lalu banyak fitur yg kurang berguna sebenarnya,jauhh lebih baik versi sebelum updatenya baik dari performa maupun dari tampilan ui/ux yg lebih friendly versi sebelumnya, mohon ditinjau kembali upgrade app ini","Negatif"
"Kalau tiket abis ga usah di tampilin lagi listnya, jadi bingung nge tap satu persatu karena yang habis tetap ada di list","Negatif"
"Aplikasi yang baru tampilannya makin ribet, enak yang dulu tampilan simple dan lebih cepat dalam proses transaksi nya. Mungkin bisa diperbaiki lagi, dengan tidak terlalu meninggalkan tampilan lama yang lebih sederhana dan tidak ribet dalam proses pemesanan tiket","Negatif"
"ko tampilan nya lebih enak yang dahulu ya, di update malah jadi ruwet","Positif"
"Semenjak update aplikasi lemot tampilan membingungkan. Kereta yang penuh masih muncul","Negatif"
"Bagus, setelah update aplikasi nya jadi lebih stabil dan tampilan nya yang efisien","Negatif"
"Tampilan baru malah makin lemot parah aplikasi nya...","Negatif"
