kalimat,kalimat_token
tampilan ok pemesanan cepat lgsung dapat,"['tampilan', 'ok', 'pemesanan', 'cepat', 'lgsung', 'dapat']"
diupgrade malah tambah lancar dari proses login sampe pambayran tiket,"['diupgrade', 'malah', 'tambah', 'lancar', 'dari', 'proses', 'login', 'sampe', 'pambayran', 'tiket']"
fitur reduksi harga dihilangkan aplikasi juga sangat lemot ciri khas bumn bgt,"['fitur', 'reduksi', 'harga', 'dihilangkan', 'aplikasi', 'juga', 'sangat', 'lemot', 'ciri', 'khas', 'bumn', 'bgt']"
updateny bagus tpi susah skrng dftr kaipayny udah gitu byar pake kai juga susah,"['updateny', 'bagus', 'tpi', 'susah', 'skrng', 'dftr', 'kaipayny', 'udah', 'gitu', 'byar', 'pake', 'kai', 'juga', 'susah']"
gini dong lancar severny yg kemaren kok koneksinya timeout terus kalo diplikasi yg baru bisa sat set pesen tiket,"['gini', 'dong', 'lancar', 'severny', 'yg', 'kemaren', 'kok', 'koneksinya', 'timeout', 'terus', 'kalo', 'diplikasi', 'yg', 'baru', 'bisa', 'sat', 'set', 'pesen', 'tiket']"
aplikasi terupdate otomatis tampilannya skrg tambah ribet dan bikin bingung lebih simpel tampilan yg lama seharusnya klo memang ada update lebih mempermudah ini malah sebaliknya,"['aplikasi', 'terupdate', 'otomatis', 'tampilannya', 'skrg', 'tambah', 'ribet', 'dan', 'bikin', 'bingung', 'lebih', 'simpel', 'tampilan', 'yg', 'lama', 'seharusnya', 'klo', 'memang', 'ada', 'update', 'lebih', 'mempermudah', 'ini', 'malah', 'sebaliknya']"
aplikasi ini keren jadi lebih mudah deh pesan tiket untuk bepergian semangat sahabat kai,"['aplikasi', 'ini', 'keren', 'jadi', 'lebih', 'mudah', 'deh', 'pesan', 'tiket', 'untuk', 'bepergian', 'semangat', 'sahabat', 'kai']"
sudah update bukannya makin bagus malah jadi semakin membuat emosi saat pembayaran menggunakan wallet jadi susah sekali password ovo yang saya punya tidak bisa muncul dan dikatakan pembayaran gagal padahal saya sudah update ovo kesel banget lebih bagus kai access versi lama,"['sudah', 'update', 'bukannya', 'makin', 'bagus', 'malah', 'jadi', 'semakin', 'membuat', 'emosi', 'saat', 'pembayaran', 'menggunakan', 'wallet', 'jadi', 'susah', 'sekali', 'password', 'ovo', 'yang', 'saya', 'punya', 'tidak', 'bisa', 'muncul', 'dan', 'dikatakan', 'pembayaran', 'gagal', 'padahal', 'saya', 'sudah', 'update', 'ovo', 'kesel', 'banget', 'lebih', 'bagus', 'kai', 'access', 'versi', 'lama']"
tampilan yg sekarang bagus dan mudah sangat nyaman,"['tampilan', 'yg', 'sekarang', 'bagus', 'dan', 'mudah', 'sangat', 'nyaman']"
aplikasi kai gapernah bener emang gimanasih tim it nya nih ah elah,"['aplikasi', 'kai', 'gapernah', 'bener', 'emang', 'gimanasih', 'tim', 'it', 'nya', 'nih', 'ah', 'elah']"
lebih baik jangan di update dulu memang dari segi ui bagus cuma masih banyak eror,"['lebih', 'baik', 'jangan', 'di', 'update', 'dulu', 'memang', 'dari', 'segi', 'ui', 'bagus', 'cuma', 'masih', 'banyak', 'eror']"
hallo menurut saya penggunaan aplikasi kai acces terbaru ini kurang memuaskan karna system yang kurang responsif membuat saya melakukan double payment melalui kai pay dengan tiket yang sama padahal niat awal hanya ingin merefresh saja tolong dibenahi supaya tidak ada consumen yang mengalami hal kurang menyenangkan seperti saya terima kasih,"['hallo', 'menurut', 'saya', 'penggunaan', 'aplikasi', 'kai', 'acces', 'terbaru', 'ini', 'kurang', 'memuaskan', 'karna', 'system', 'yang', 'kurang', 'responsif', 'membuat', 'saya', 'melakukan', 'double', 'payment', 'melalui', 'kai', 'pay', 'dengan', 'tiket', 'yang', 'sama', 'padahal', 'niat', 'awal', 'hanya', 'ingin', 'merefresh', 'saja', 'tolong', 'dibenahi', 'supaya', 'tidak', 'ada', 'consumen', 'yang', 'mengalami', 'hal', 'kurang', 'menyenangkan', 'seperti', 'saya', 'terima', 'kasih']"
waktu may bayar sudah tidak loading terus lebih baik dari seblum ny performa nya meningkat,"['waktu', 'may', 'bayar', 'sudah', 'tidak', 'loading', 'terus', 'lebih', 'baik', 'dari', 'seblum', 'ny', 'performa', 'nya', 'meningkat']"
